language,sentence,n,edgelist,root
Japanese,27,38,"[(18, 25), (18, 37), (36, 18), (7, 36), (16, 8), (4, 16), (13, 4), (34, 13), (1, 34), (2, 1), (29, 2), (9, 29), (15, 11), (24, 15), (35, 24), (20, 35), (27, 20), (9, 27), (14, 9), (17, 33), (12, 17), (14, 12), (19, 32), (23, 19), (23, 31), (30, 23), (5, 30), (21, 5), (38, 21), (22, 38), (10, 22), (14, 10), (3, 14), (6, 3), (7, 6), (28, 7), (28, 26)]",28
Japanese,29,20,"[(2, 1), (19, 2), (5, 19), (3, 5), (18, 3), (14, 12), (6, 14), (10, 7), (6, 10), (18, 6), (13, 18), (18, 9), (16, 13), (15, 11), (8, 15), (4, 8), (16, 20), (4, 16), (4, 17)]",4
Japanese,30,45,"[(7, 18), (19, 41), (31, 19), (13, 31), (38, 13), (10, 38), (2, 44), (2, 21), (23, 2), (20, 23), (37, 20), (14, 37), (36, 27), (45, 6), (36, 45), (20, 36), (40, 14), (10, 40), (15, 8), (28, 15), (15, 29), (32, 28), (39, 32), (22, 39), (30, 5), (1, 30), (22, 1), (17, 22), (43, 17), (33, 43), (35, 25), (33, 35), (16, 33), (12, 16), (26, 12), (11, 26), (42, 11), (10, 42), (3, 9), (24, 3), (10, 24), (34, 10), (7, 34), (34, 4)]",7
Japanese,31,24,"[(13, 10), (5, 13), (9, 5), (21, 9), (21, 20), (1, 6), (1, 14), (7, 1), (21, 7), (4, 12), (17, 4), (21, 17), (23, 21), (3, 15), (2, 3), (24, 2), (11, 24), (23, 11), (22, 19), (22, 16), (18, 22), (23, 18), (8, 23)]",8
Japanese,33,23,"[(8, 11), (10, 8), (15, 10), (9, 15), (1, 9), (3, 1), (18, 16), (19, 18), (14, 19), (6, 21), (14, 6), (20, 14), (2, 20), (5, 2), (17, 5), (23, 7), (22, 23), (17, 22), (12, 17), (3, 12), (13, 3), (13, 4)]",13
Japanese,35,29,"[(5, 20), (4, 9), (1, 2), (1, 4), (17, 1), (14, 3), (12, 14), (28, 22), (12, 28), (17, 12), (26, 17), (21, 26), (16, 21), (13, 19), (25, 13), (15, 24), (6, 15), (6, 29), (25, 6), (25, 10), (18, 25), (16, 18), (23, 16), (5, 23), (16, 8), (8, 11), (11, 7), (5, 27)]",5
Japanese,37,30,"[(3, 18), (16, 3), (13, 16), (23, 13), (2, 8), (7, 2), (11, 7), (1, 11), (17, 1), (24, 26), (20, 24), (17, 20), (4, 17), (29, 4), (9, 29), (15, 9), (27, 15), (5, 27), (14, 22), (10, 14), (25, 10), (28, 25), (19, 28), (5, 19), (12, 30), (5, 12), (12, 6), (21, 5), (23, 21)]",23
Japanese,38,11,"[(4, 9), (6, 4), (8, 5), (10, 8), (7, 2), (1, 7), (11, 1), (3, 11), (10, 3), (6, 10)]",6
Japanese,40,16,"[(14, 9), (2, 14), (11, 2), (12, 11), (8, 12), (5, 4), (6, 5), (6, 1), (6, 7), (16, 6), (15, 16), (13, 15), (8, 13), (3, 8), (3, 10)]",3
Japanese,43,23,"[(12, 4), (20, 12), (18, 20), (14, 18), (1, 11), (3, 1), (14, 19), (13, 8), (5, 13), (2, 5), (2, 22), (2, 7), (9, 2), (14, 9), (15, 21), (23, 15), (23, 6), (16, 23), (14, 16), (17, 10), (14, 17), (3, 14)]",3
Japanese,45,39,"[(14, 38), (9, 14), (31, 9), (31, 18), (10, 31), (10, 7), (10, 6), (27, 10), (37, 27), (13, 36), (25, 13), (4, 3), (29, 35), (4, 29), (25, 4), (19, 2), (21, 19), (23, 21), (25, 23), (39, 33), (25, 39), (32, 25), (34, 32), (32, 12), (5, 34), (30, 5), (20, 30), (37, 20), (8, 22), (16, 8), (15, 16), (1, 15), (28, 1), (37, 28), (24, 26), (37, 24), (17, 37), (17, 11)]",17
Japanese,46,34,"[(29, 6), (34, 29), (30, 34), (18, 30), (28, 4), (32, 28), (25, 32), (17, 25), (16, 1), (17, 16), (20, 27), (17, 20), (17, 24), (17, 7), (12, 17), (15, 12), (10, 21), (15, 10), (8, 15), (14, 8), (8, 3), (23, 5), (23, 11), (23, 22), (33, 23), (14, 33), (14, 9), (19, 14), (31, 19), (19, 13), (31, 2), (26, 31), (18, 26)]",18
Japanese,47,25,"[(23, 6), (18, 23), (20, 18), (25, 11), (10, 25), (16, 10), (4, 16), (21, 4), (22, 21), (1, 22), (19, 13), (14, 19), (15, 14), (9, 15), (1, 9), (3, 17), (1, 3), (8, 1), (5, 8), (8, 7), (12, 5), (24, 12), (2, 24), (2, 20)]",2
Japanese,48,36,"[(36, 16), (36, 23), (36, 29), (36, 9), (36, 22), (17, 36), (14, 17), (14, 7), (26, 14), (1, 26), (26, 32), (32, 6), (19, 1), (19, 28), (2, 19), (34, 2), (2, 15), (15, 4), (12, 21), (12, 24), (3, 12), (35, 3), (30, 25), (30, 8), (11, 30), (35, 11), (27, 35), (33, 27), (10, 33), (10, 5), (31, 10), (18, 31), (20, 18), (34, 20), (34, 13)]",34
Japanese,49,30,"[(3, 20), (3, 26), (1, 3), (24, 1), (4, 24), (10, 4), (9, 2), (5, 9), (25, 6), (5, 25), (18, 5), (13, 18), (12, 13), (21, 12), (16, 17), (22, 16), (11, 22), (23, 11), (7, 23), (15, 7), (7, 30), (19, 29), (15, 19), (8, 15), (21, 8), (8, 14), (10, 21), (27, 10), (27, 28)]",27
Japanese,51,21,"[(2, 16), (5, 2), (17, 5), (4, 17), (20, 4), (6, 20), (7, 15), (3, 7), (1, 3), (12, 1), (10, 13), (12, 10), (9, 12), (18, 9), (19, 18), (21, 8), (21, 11), (14, 21), (19, 14), (6, 19)]",6
Japanese,57,51,"[(12, 17), (12, 39), (27, 12), (30, 27), (40, 24), (13, 40), (1, 13), (36, 1), (34, 36), (38, 34), (33, 38), (28, 33), (46, 28), (19, 46), (3, 19), (10, 11), (23, 10), (3, 23), (8, 3), (50, 8), (26, 50), (4, 9), (32, 4), (45, 15), (32, 45), (14, 32), (41, 14), (49, 41), (35, 49), (43, 47), (43, 22), (7, 43), (35, 7), (35, 2), (35, 18), (35, 37), (48, 35), (26, 48), (35, 20), (20, 25), (25, 44), (16, 26), (26, 29), (31, 16), (30, 31), (5, 6), (21, 5), (30, 21), (42, 30), (42, 51)]",42
Japanese,59,29,"[(11, 9), (16, 11), (25, 16), (22, 25), (20, 22), (2, 20), (19, 2), (28, 19), (18, 4), (28, 18), (29, 28), (5, 29), (21, 5), (5, 3), (23, 7), (26, 23), (21, 26), (17, 21), (8, 17), (1, 10), (6, 1), (15, 6), (8, 15), (8, 24), (8, 14), (13, 8), (12, 27), (13, 12)]",13
Japanese,61,24,"[(5, 18), (6, 5), (15, 6), (7, 15), (2, 8), (23, 2), (17, 23), (17, 22), (3, 17), (9, 3), (21, 24), (7, 21), (19, 10), (12, 19), (11, 12), (13, 11), (9, 13), (9, 7), (4, 9), (1, 20), (4, 1), (16, 4), (16, 14)]",16
Japanese,62,17,"[(9, 14), (4, 9), (7, 11), (13, 7), (17, 13), (1, 17), (6, 1), (4, 6), (10, 8), (4, 10), (2, 4), (3, 2), (12, 3), (3, 5), (15, 12), (16, 15)]",16
Japanese,66,13,"[(1, 10), (7, 1), (6, 7), (13, 12), (9, 13), (6, 9), (9, 8), (8, 3), (3, 11), (5, 6), (5, 4), (4, 2)]",5
Japanese,69,16,"[(5, 2), (3, 5), (1, 3), (4, 1), (1, 12), (9, 4), (8, 9), (7, 13), (15, 7), (14, 15), (16, 10), (14, 16), (6, 11), (14, 6), (8, 14)]",8
Japanese,71,23,"[(19, 16), (21, 19), (11, 21), (5, 14), (1, 5), (10, 13), (4, 10), (11, 4), (3, 20), (9, 3), (15, 9), (12, 15), (11, 12), (1, 11), (18, 1), (23, 18), (8, 23), (7, 22), (2, 7), (8, 2), (17, 8), (6, 17)]",6
Japanese,73,28,"[(11, 1), (6, 11), (4, 6), (19, 22), (19, 9), (19, 24), (12, 19), (14, 12), (4, 14), (27, 4), (4, 8), (23, 27), (17, 23), (5, 21), (16, 5), (18, 16), (20, 18), (28, 15), (2, 28), (20, 2), (10, 20), (3, 10), (17, 3), (25, 17), (7, 26), (25, 7), (25, 13)]",25
Japanese,76,24,"[(8, 4), (2, 8), (19, 13), (19, 14), (19, 18), (21, 19), (5, 21), (5, 24), (12, 5), (23, 12), (9, 23), (9, 3), (7, 9), (22, 7), (10, 17), (20, 10), (22, 20), (1, 22), (2, 1), (16, 2), (15, 11), (16, 15), (16, 6)]",16
Japanese,77,18,"[(7, 12), (14, 8), (1, 14), (1, 6), (10, 1), (17, 10), (18, 17), (5, 18), (11, 3), (15, 11), (2, 15), (9, 2), (4, 9), (5, 4), (16, 5), (7, 16), (7, 13)]",7
Japanese,78,28,"[(10, 22), (27, 10), (2, 27), (12, 7), (24, 12), (24, 15), (6, 24), (20, 6), (6, 19), (9, 16), (18, 9), (17, 18), (1, 17), (11, 1), (4, 23), (14, 4), (11, 14), (3, 11), (20, 3), (21, 20), (25, 21), (21, 13), (13, 5), (5, 8), (2, 25), (28, 2), (28, 26)]",28
Japanese,82,27,"[(8, 6), (21, 16), (7, 21), (11, 7), (20, 4), (24, 20), (10, 24), (15, 27), (10, 15), (5, 10), (18, 5), (18, 9), (1, 18), (17, 1), (1, 25), (2, 17), (11, 2), (23, 11), (14, 12), (13, 14), (19, 13), (23, 19), (19, 22), (22, 3), (3, 26), (8, 23)]",8
Japanese,83,55,"[(14, 55), (14, 4), (40, 14), (34, 40), (43, 32), (3, 43), (34, 3), (5, 34), (20, 5), (28, 8), (38, 28), (53, 45), (39, 53), (15, 39), (25, 15), (42, 25), (6, 42), (19, 6), (13, 19), (13, 7), (18, 13), (13, 48), (18, 37), (18, 50), (38, 18), (51, 38), (10, 51), (20, 10), (23, 20), (16, 23), (22, 44), (24, 22), (41, 35), (2, 41), (41, 49), (49, 26), (11, 46), (33, 11), (30, 33), (31, 30), (1, 31), (52, 1), (12, 52), (2, 12), (12, 47), (47, 27), (9, 2), (54, 9), (36, 54), (17, 36), (29, 17), (16, 29), (24, 16), (24, 21)]",24
Japanese,84,25,"[(20, 13), (9, 20), (21, 4), (21, 8), (21, 11), (21, 6), (17, 21), (19, 17), (7, 2), (15, 7), (7, 10), (22, 15), (19, 22), (19, 23), (5, 19), (19, 14), (24, 5), (9, 24), (25, 18), (25, 3), (16, 25), (1, 16), (12, 1), (9, 12)]",9
Japanese,85,48,"[(18, 11), (36, 18), (15, 7), (36, 15), (27, 36), (6, 27), (27, 45), (45, 46), (46, 13), (28, 33), (35, 28), (42, 35), (47, 3), (48, 47), (26, 48), (10, 26), (42, 10), (25, 42), (17, 25), (12, 17), (4, 12), (6, 4), (34, 6), (9, 34), (44, 9), (24, 44), (39, 30), (37, 39), (24, 37), (20, 24), (1, 20), (20, 19), (19, 5), (16, 22), (43, 16), (1, 43), (29, 14), (38, 29), (40, 38), (41, 8), (32, 41), (21, 32), (31, 21), (31, 40), (1, 31), (2, 1), (2, 23)]",2
Japanese,86,38,"[(6, 24), (2, 6), (29, 2), (19, 29), (29, 30), (30, 1), (10, 20), (11, 10), (22, 11), (32, 9), (22, 32), (4, 17), (36, 4), (28, 36), (28, 22), (31, 28), (33, 31), (19, 33), (7, 21), (14, 12), (34, 14), (27, 8), (34, 27), (16, 34), (38, 16), (16, 15), (35, 38), (7, 35), (19, 7), (3, 18), (26, 3), (23, 26), (19, 23), (13, 19), (5, 13), (13, 37), (25, 5)]",25
Japanese,87,31,"[(17, 15), (25, 17), (28, 25), (29, 31), (26, 29), (23, 26), (6, 20), (14, 6), (14, 11), (11, 16), (30, 21), (14, 30), (24, 14), (18, 13), (13, 12), (24, 27), (24, 5), (18, 24), (10, 18), (8, 7), (23, 8), (4, 10), (23, 4), (22, 23), (1, 22), (28, 1), (19, 28), (9, 2), (3, 9), (3, 19)]",3
Japanese,88,28,"[(8, 17), (22, 21), (8, 22), (15, 12), (2, 15), (18, 5), (23, 18), (23, 19), (16, 23), (20, 16), (6, 20), (26, 13), (14, 26), (10, 14), (10, 28), (3, 10), (7, 3), (7, 25), (4, 7), (9, 4), (6, 9), (6, 1), (11, 6), (27, 11), (2, 27), (24, 2), (8, 24)]",8
Japanese,93,42,"[(8, 4), (15, 8), (26, 15), (29, 14), (11, 29), (34, 11), (5, 34), (31, 5), (12, 31), (26, 12), (35, 24), (38, 35), (26, 38), (26, 32), (26, 37), (19, 26), (2, 19), (6, 22), (6, 13), (23, 6), (28, 23), (30, 28), (33, 30), (20, 33), (9, 20), (25, 9), (25, 42), (2, 25), (3, 2), (17, 3), (10, 17), (1, 41), (7, 1), (18, 7), (10, 18), (18, 39), (36, 10), (16, 40), (27, 16), (36, 27), (36, 21)]",36
Japanese,94,30,"[(15, 26), (28, 15), (16, 9), (21, 16), (30, 21), (3, 30), (30, 6), (14, 4), (8, 14), (22, 8), (20, 22), (1, 20), (18, 1), (24, 18), (11, 24), (3, 11), (25, 2), (17, 25), (23, 17), (29, 23), (19, 29), (12, 19), (12, 7), (13, 12), (3, 13), (5, 3), (10, 5), (28, 10), (28, 27)]",28
Japanese,95,40,"[(38, 13), (22, 29), (32, 22), (32, 20), (25, 32), (17, 25), (36, 5), (40, 36), (8, 40), (19, 8), (8, 30), (30, 3), (9, 19), (9, 27), (35, 9), (34, 6), (14, 26), (35, 14), (34, 35), (7, 34), (37, 10), (1, 37), (31, 1), (16, 31), (7, 16), (4, 7), (7, 23), (33, 4), (39, 33), (28, 24), (39, 28), (15, 2), (39, 15), (18, 39), (39, 11), (21, 18), (17, 21), (38, 17), (38, 12)]",38
Japanese,96,20,"[(13, 9), (15, 13), (6, 12), (18, 6), (11, 18), (7, 11), (16, 7), (5, 14), (16, 5), (2, 16), (4, 2), (2, 19), (15, 4), (8, 15), (15, 1), (1, 10), (10, 17), (17, 3), (8, 20)]",8
Japanese,102,29,"[(7, 8), (7, 5), (23, 7), (27, 23), (29, 20), (27, 29), (27, 11), (15, 27), (22, 15), (15, 6), (6, 14), (9, 26), (28, 9), (10, 28), (21, 10), (12, 3), (17, 12), (13, 17), (4, 13), (21, 4), (24, 21), (2, 24), (24, 19), (19, 25), (22, 2), (1, 22), (16, 1), (16, 18)]",16
Japanese,105,47,"[(15, 44), (10, 15), (46, 10), (28, 31), (13, 28), (41, 13), (13, 4), (4, 11), (38, 41), (38, 40), (42, 38), (26, 42), (26, 25), (34, 26), (19, 34), (20, 19), (9, 20), (14, 5), (32, 14), (9, 32), (46, 9), (30, 46), (17, 30), (30, 22), (16, 17), (45, 2), (23, 45), (23, 7), (12, 23), (24, 12), (3, 21), (47, 3), (18, 47), (18, 43), (37, 18), (27, 37), (35, 27), (8, 35), (29, 8), (24, 29), (16, 24), (24, 39), (36, 33), (16, 36), (1, 16), (1, 6)]",1
Japanese,108,39,"[(5, 33), (24, 5), (2, 24), (24, 19), (36, 26), (35, 36), (22, 39), (35, 22), (35, 11), (38, 35), (34, 38), (34, 6), (34, 31), (17, 34), (1, 17), (20, 10), (7, 20), (7, 3), (14, 7), (1, 14), (14, 28), (13, 23), (21, 13), (16, 21), (16, 29), (27, 16), (30, 27), (15, 30), (1, 15), (9, 1), (8, 9), (9, 18), (32, 8), (25, 32), (37, 4), (2, 37), (12, 2), (25, 12)]",25
Japanese,111,17,"[(2, 14), (13, 2), (13, 17), (10, 13), (16, 10), (5, 8), (9, 5), (7, 9), (12, 7), (16, 12), (15, 11), (1, 15), (3, 1), (4, 3), (6, 4), (16, 6)]",16
Japanese,113,28,"[(28, 22), (4, 21), (28, 4), (13, 24), (15, 13), (15, 14), (1, 26), (27, 1), (19, 17), (11, 19), (11, 5), (20, 11), (16, 20), (12, 16), (6, 12), (27, 6), (18, 27), (18, 7), (18, 3), (8, 18), (23, 8), (2, 23), (25, 2), (15, 25), (28, 15), (9, 10), (28, 9)]",28
Japanese,116,41,"[(8, 27), (26, 8), (19, 26), (38, 7), (16, 38), (17, 16), (19, 17), (25, 1), (19, 25), (2, 19), (3, 2), (39, 32), (33, 39), (4, 33), (4, 28), (21, 4), (15, 21), (3, 15), (34, 3), (31, 34), (18, 10), (6, 18), (22, 6), (22, 12), (40, 22), (22, 24), (40, 9), (41, 40), (35, 41), (37, 35), (29, 37), (29, 23), (14, 29), (30, 14), (11, 30), (5, 11), (20, 5), (31, 20), (13, 31), (13, 36)]",13
Japanese,117,31,"[(6, 5), (9, 25), (16, 9), (1, 16), (23, 1), (18, 12), (11, 18), (31, 11), (15, 31), (31, 22), (15, 17), (15, 19), (10, 15), (2, 10), (10, 28), (28, 29), (27, 2), (30, 27), (7, 30), (7, 14), (21, 7), (20, 21), (23, 20), (13, 26), (23, 13), (23, 24), (3, 4), (23, 3), (6, 23), (6, 8)]",6
Japanese,118,32,"[(25, 28), (7, 25), (3, 22), (31, 3), (11, 31), (30, 11), (19, 15), (30, 19), (13, 30), (17, 13), (9, 17), (23, 9), (5, 14), (5, 21), (8, 5), (23, 8), (23, 6), (20, 23), (27, 20), (24, 27), (4, 10), (24, 4), (26, 24), (2, 26), (12, 2), (2, 18), (12, 1), (29, 12), (16, 29), (7, 16), (7, 32)]",7
Japanese,120,27,"[(22, 18), (19, 22), (19, 15), (21, 19), (13, 21), (14, 13), (10, 14), (4, 10), (4, 23), (5, 4), (25, 5), (9, 12), (8, 9), (17, 8), (17, 6), (26, 17), (25, 26), (1, 25), (2, 1), (3, 27), (3, 24), (7, 3), (3, 20), (2, 7), (11, 2), (11, 16)]",11
Japanese,121,14,"[(9, 4), (5, 1), (9, 5), (8, 9), (7, 8), (8, 11), (13, 3), (13, 14), (10, 13), (2, 10), (12, 2), (12, 7), (12, 6)]",12
Japanese,123,21,"[(16, 2), (16, 6), (14, 16), (11, 14), (17, 11), (3, 17), (4, 10), (13, 4), (13, 19), (8, 13), (15, 8), (5, 15), (9, 5), (18, 21), (7, 18), (9, 7), (1, 9), (12, 1), (3, 12), (3, 20)]",3
Japanese,124,21,"[(10, 12), (18, 10), (20, 8), (19, 20), (5, 19), (21, 7), (11, 13), (21, 11), (5, 21), (17, 5), (9, 17), (4, 6), (4, 15), (2, 4), (3, 2), (9, 3), (18, 9), (16, 18), (1, 16), (1, 14)]",1
Japanese,125,6,"[(1, 3), (2, 1), (4, 6), (5, 4), (2, 5)]",2
Japanese,126,25,"[(23, 24), (17, 23), (5, 21), (7, 5), (4, 10), (12, 4), (3, 12), (16, 3), (14, 9), (20, 14), (19, 20), (16, 19), (11, 2), (16, 11), (8, 16), (1, 8), (1, 13), (25, 22), (15, 25), (6, 15), (1, 6), (18, 1), (7, 18), (17, 7)]",17
Japanese,127,24,"[(5, 15), (13, 5), (17, 13), (6, 17), (3, 6), (3, 7), (2, 3), (23, 2), (2, 1), (12, 23), (8, 10), (19, 8), (12, 14), (24, 12), (19, 24), (11, 19), (16, 21), (11, 16), (18, 22), (20, 18), (4, 20), (9, 4), (11, 9)]",11
Japanese,128,33,"[(13, 11), (24, 32), (13, 24), (5, 13), (2, 18), (5, 2), (33, 22), (5, 33), (33, 1), (1, 3), (23, 16), (19, 23), (5, 19), (28, 5), (9, 17), (4, 9), (26, 31), (8, 26), (7, 14), (29, 7), (20, 29), (25, 20), (27, 25), (8, 27), (10, 8), (30, 10), (4, 30), (15, 4), (6, 15), (28, 6), (21, 28), (12, 21)]",12
Japanese,129,15,"[(2, 11), (14, 2), (15, 14), (5, 15), (10, 13), (6, 10), (1, 4), (6, 1), (9, 6), (5, 9), (12, 5), (7, 3), (8, 7), (8, 12)]",8
Japanese,136,7,"[(7, 5), (1, 4), (6, 1), (2, 6), (3, 2), (7, 3)]",7
Japanese,137,25,"[(20, 16), (24, 20), (11, 24), (6, 11), (10, 6), (8, 17), (19, 8), (15, 19), (15, 14), (12, 15), (10, 12), (10, 22), (2, 23), (4, 2), (10, 4), (21, 18), (9, 21), (1, 9), (1, 13), (25, 1), (10, 25), (3, 7), (10, 3), (5, 10)]",5
Japanese,138,39,"[(31, 17), (36, 31), (14, 36), (7, 23), (7, 37), (11, 7), (3, 11), (32, 2), (13, 32), (15, 13), (15, 1), (15, 12), (29, 15), (14, 29), (3, 14), (9, 3), (27, 9), (28, 35), (39, 28), (33, 25), (16, 33), (24, 16), (20, 26), (19, 20), (24, 19), (21, 24), (8, 21), (22, 8), (34, 22), (10, 34), (6, 30), (10, 6), (4, 10), (27, 4), (4, 5), (18, 38), (27, 18), (39, 27)]",39
Japanese,139,29,"[(19, 9), (18, 19), (24, 17), (23, 24), (2, 23), (20, 22), (15, 20), (2, 15), (15, 25), (3, 16), (8, 3), (2, 8), (10, 4), (2, 10), (7, 2), (6, 7), (14, 5), (11, 14), (13, 11), (29, 13), (28, 29), (1, 28), (12, 1), (6, 12), (18, 6), (6, 26), (26, 21), (21, 27)]",18
Japanese,142,40,"[(28, 11), (24, 28), (14, 30), (37, 14), (36, 37), (9, 36), (9, 26), (20, 9), (12, 20), (15, 1), (13, 15), (10, 13), (16, 12), (25, 16), (10, 25), (24, 10), (3, 31), (24, 3), (5, 24), (22, 5), (19, 8), (17, 19), (4, 17), (7, 4), (22, 7), (39, 23), (33, 39), (23, 2), (38, 33), (18, 32), (40, 18), (27, 40), (29, 27), (6, 29), (29, 34), (21, 6), (22, 21), (35, 22), (38, 35)]",38
Japanese,144,48,"[(35, 13), (46, 26), (15, 46), (32, 15), (31, 6), (47, 31), (18, 8), (1, 18), (4, 1), (47, 4), (2, 47), (30, 2), (32, 30), (28, 32), (40, 14), (12, 40), (33, 12), (38, 33), (22, 38), (37, 11), (27, 37), (27, 22), (42, 27), (29, 23), (5, 43), (20, 5), (16, 39), (42, 16), (10, 34), (48, 10), (3, 48), (42, 3), (20, 42), (25, 20), (36, 25), (25, 19), (29, 36), (45, 29), (21, 45), (7, 21), (17, 7), (9, 28), (17, 9), (35, 17), (24, 41), (35, 24), (35, 44)]",35
Japanese,145,24,"[(1, 18), (4, 11), (20, 4), (17, 20), (20, 10), (10, 7), (14, 17), (19, 14), (6, 19), (23, 6), (2, 23), (2, 9), (16, 24), (22, 16), (2, 22), (3, 2), (8, 3), (21, 13), (1, 21), (8, 15), (12, 5), (8, 12), (1, 8)]",1
Japanese,146,34,"[(8, 20), (4, 8), (33, 26), (4, 33), (14, 4), (7, 14), (14, 15), (29, 7), (25, 29), (5, 17), (25, 5), (13, 25), (34, 13), (12, 34), (11, 12), (16, 6), (16, 2), (10, 16), (23, 10), (9, 23), (3, 9), (3, 18), (3, 27), (3, 1), (3, 30), (28, 3), (11, 28), (11, 22), (32, 21), (24, 32), (31, 24), (19, 31), (11, 19)]",11
Japanese,147,26,"[(25, 24), (19, 25), (16, 19), (16, 3), (1, 16), (11, 1), (21, 11), (26, 21), (22, 18), (26, 22), (5, 26), (26, 12), (8, 7), (9, 8), (13, 9), (2, 13), (14, 2), (6, 14), (5, 6), (15, 4), (17, 15), (23, 10), (17, 23), (20, 17), (5, 20)]",5
Japanese,148,14,"[(6, 5), (1, 6), (11, 1), (4, 8), (3, 10), (12, 3), (7, 12), (9, 7), (4, 9), (14, 4), (14, 2), (11, 14), (11, 13)]",11
Japanese,152,30,"[(7, 9), (30, 20), (24, 30), (25, 24), (3, 25), (19, 28), (5, 19), (1, 5), (11, 1), (27, 11), (4, 8), (23, 4), (18, 23), (16, 18), (21, 16), (13, 21), (2, 13), (27, 2), (12, 22), (27, 12), (6, 29), (26, 6), (27, 26), (10, 27), (14, 10), (3, 14), (15, 3), (17, 15), (7, 17)]",7
Japanese,157,28,"[(26, 12), (14, 15), (28, 14), (5, 28), (13, 5), (5, 21), (10, 13), (1, 22), (22, 8), (18, 7), (10, 18), (1, 10), (4, 1), (1, 19), (19, 17), (25, 6), (4, 25), (2, 16), (20, 2), (24, 20), (23, 24), (26, 23), (9, 11), (4, 9), (27, 3), (26, 27), (26, 4)]",26
Japanese,159,15,"[(13, 14), (8, 13), (10, 8), (7, 6), (10, 7), (4, 10), (9, 4), (5, 11), (3, 5), (15, 2), (9, 15), (3, 9), (1, 3), (1, 12)]",1
Japanese,161,18,"[(1, 8), (4, 1), (17, 4), (3, 17), (2, 9), (5, 2), (3, 5), (14, 11), (13, 14), (12, 13), (3, 12), (6, 3), (7, 6), (18, 16), (15, 18), (7, 15), (10, 7)]",10
Japanese,162,26,"[(3, 12), (15, 20), (14, 5), (8, 14), (18, 8), (15, 18), (3, 15), (26, 25), (19, 26), (10, 19), (7, 10), (22, 4), (22, 17), (2, 22), (7, 2), (6, 7), (23, 6), (13, 23), (16, 13), (13, 24), (11, 16), (11, 21), (11, 9), (11, 1), (3, 11)]",3
